ID;Feature ID;NASA ID;NASA-TLX. 1 - Low, 20 - High [Mental Demand];NASA-TLX. 1 - Low, 20 - High [Physical Demand];NASA-TLX. 1 - Low, 20 - High [Temporal Demand];NASA-TLX. 1 - Low, 20 - High [Performance];NASA-TLX. 1 - Low, 20 - High [Effort];NASA-TLX. 1 - Low, 20 - High [Frustration];NASA
3;Option 1;3Option 1;3;1;3;2;2;2;13
36;Option 1;36Option 1;3;1;3;3;2;2;14
2;Option 1;2Option 1;2;2;2;2;2;2;10
11;Option 1;11Option 1;1;1;1;1;1;1;5
15;Option 1;15Option 1;1;1;4;3;2;1;13,66666667
5;Option 1;5Option 1;2;3;2;3;6;5;22,33333333
8;Option 1;8Option 1;1;1;1;1;1;1;5
37;Option 1;37Option 1;13;3;12;5;12;5;52,33333333
33;Option 1;33Option 1;1;1;1;1;1;1;5
6;Option 1;6Option 1;16;8;15;7;15;2;67
44;Option 1;44Option 1;4;4;3;4;3;3;18,66666667
8;Option 2;8Option 2;1;1;1;1;1;1;5
37;Option 2;37Option 2;10;3;4;7;12;7;47,33333333
33;Option 2;33Option 2;1;1;1;1;1;1;5
6;Option 2;6Option 2;13;6;12;3;14;1;55,66666667
44;Option 2;44Option 2;4;3;4;4;5;4;21,66666667
3;Option 2;3Option 2;3;2;3;2;2;2;13
36;Option 2;36Option 2;3;1;3;3;1;1;13
2;Option 2;2Option 2;2;2;2;2;2;2;10
11;Option 2;11Option 2;1;1;1;2;1;1;6,666666667
15;Option 2;15Option 2;1;1;3;2;2;1;10,66666667
5;Option 2;5Option 2;2;3;2;5;3;2;17,33333333
